Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
5577150313,4/15/2016,1,392.00,413
6775888955,4/15/2016,1,391.00,406
6962181067,4/15/2016,1,370.00,386
7086361926,4/15/2016,1,377.00,386
8378563200,4/15/2016,1,513.00,533
8792009665,4/15/2016,1,363.00,377
1503960366,4/16/2016,2,340.00,367
4388161847,4/16/2016,2,426.00,448
4702921684,4/16/2016,2,382.00,406
5553957443,4/16/2016,2,651.00,686
8378563200,4/16/2016,2,611.00,689
2026352035,4/16/2016,1,524.00,567
3977333714,4/16/2016,1,283.00,510
4020332650,4/16/2016,1,77.00,77
4319703577,4/16/2016,1,506.00,522
4445114986,4/16/2016,1,462.00,499
5577150313,4/16/2016,1,406.00,445
6117666160,4/16/2016,1,380.00,398
6962181067,4/16/2016,1,357.00,366
7007744171,4/16/2016,1,79.00,82
4388161847,4/17/2016,2,619.00,641
6117666160,4/17/2016,2,336.00,350
8378563200,4/17/2016,2,525.00,591
1503960366,4/17/2016,1,700.00,712
2026352035,4/17/2016,1,437.00,498
2347167796,4/17/2016,1,556.00,602
3977333714,4/17/2016,1,381.00,566
4445114986,4/17/2016,1,98.00,107
4702921684,4/17/2016,1,591.00,612
5553957443,4/17/2016,1,350.00,402
5577150313,4/17/2016,1,549.00,583
6962181067,4/17/2016,1,427.00,446
3977333714,4/18/2016,2,412.00,522
5553957443,4/18/2016,2,520.00,541
6117666160,4/18/2016,2,493.00,510
2347167796,4/18/2016,1,500.00,557
4319703577,4/18/2016,1,515.00,551
4388161847,4/18/2016,1,99.00,104
4702921684,4/18/2016,1,293.00,312
5577150313,4/18/2016,1,527.00,553
6962181067,4/18/2016,1,442.00,458
8378563200,4/18/2016,1,398.00,451
4319703577,4/19/2016,2,461.00,498
4445114986,4/19/2016,2,388.00,424
1503960366,4/19/2016,1,304.00,320
2026352035,4/19/2016,1,498.00,540
2347167796,4/19/2016,1,465.00,514
3977333714,4/19/2016,1,219.00,395
4388161847,4/19/2016,1,329.00,338
4702921684,4/19/2016,1,457.00,487
5553957443,4/19/2016,1,357.00,410
5577150313,4/19/2016,1,449.00,465
6117666160,4/19/2016,1,465.00,492
6962181067,4/19/2016,1,476.00,535
7086361926,4/19/2016,1,472.00,483
8378563200,4/19/2016,1,387.00,421
3977333714,4/20/2016,2,152.00,305
1503960366,4/20/2016,1,360.00,377
2026352035,4/20/2016,1,461.00,510
4319703577,4/20/2016,1,523.00,543
4388161847,4/20/2016,1,421.00,451
4445114986,4/20/2016,1,439.00,462
4702921684,4/20/2016,1,454.00,468
5553957443,4/20/2016,1,658.00,678
5577150313,4/20/2016,1,447.00,480
6117666160,4/20/2016,1,474.00,502
6962181067,4/20/2016,1,418.00,424
7086361926,4/20/2016,1,492.00,502
8053475328,4/20/2016,1,486.00,493
8378563200,4/20/2016,1,381.00,409
8792009665,4/20/2016,1,528.00,547
1503960366,4/21/2016,1,325.00,364
2026352035,4/21/2016,1,477.00,514
2347167796,4/21/2016,1,460.00,484
3977333714,4/21/2016,1,332.00,512
4319703577,4/21/2016,1,59.00,65
4388161847,4/21/2016,1,442.00,458
4445114986,4/21/2016,1,436.00,469
4558609924,4/21/2016,1,126.00,137
4702921684,4/21/2016,1,425.00,434
5553957443,4/21/2016,1,399.00,431
5577150313,4/21/2016,1,414.00,437
6117666160,4/21/2016,1,508.00,550
6962181067,4/21/2016,1,451.00,457
7086361926,4/21/2016,1,390.00,411
8378563200,4/21/2016,1,396.00,417
2026352035,4/22/2016,1,520.00,545
2347167796,4/22/2016,1,405.00,461
3977333714,4/22/2016,1,355.00,476
4319703577,4/22/2016,1,533.00,550
4388161847,4/22/2016,1,82.00,85
4445114986,4/22/2016,1,388.00,417
5553957443,4/22/2016,1,322.00,353
5577150313,4/22/2016,1,338.00,366
6117666160,4/22/2016,1,480.00,546
6962181067,4/22/2016,1,425.00,435
7086361926,4/22/2016,1,428.00,448
8378563200,4/22/2016,1,441.00,469
8792009665,4/22/2016,1,391.00,407
5553957443,4/23/2016,2,631.00,725
1503960366,4/23/2016,1,361.00,384
2026352035,4/23/2016,1,522.00,554
2320127002,4/23/2016,1,61.00,69
2347167796,4/23/2016,1,374.00,386
3977333714,4/23/2016,1,235.00,372
4319703577,4/23/2016,1,692.00,722
4388161847,4/23/2016,1,478.00,501
4702921684,4/23/2016,1,465.00,475
5577150313,4/23/2016,1,384.00,402
6117666160,4/23/2016,1,492.00,539
6962181067,4/23/2016,1,528.00,546
8053475328,4/23/2016,1,331.00,337
8378563200,4/23/2016,1,565.00,591
8792009665,4/23/2016,1,339.00,360
4388161847,4/24/2016,3,552.00,595
5553957443,4/24/2016,2,553.00,640
1503960366,4/24/2016,1,430.00,449
2026352035,4/24/2016,1,555.00,591
2347167796,4/24/2016,1,442.00,459
3977333714,4/24/2016,1,310.00,526
4319703577,4/24/2016,1,467.00,501
4702921684,4/24/2016,1,480.00,506
5577150313,4/24/2016,1,543.00,615
6117666160,4/24/2016,1,353.00,367
6962181067,4/24/2016,1,511.00,514
7086361926,4/24/2016,1,681.00,704
8378563200,4/24/2016,1,458.00,492
1503960366,4/25/2016,1,277.00,323
2026352035,4/25/2016,1,506.00,531
2347167796,4/25/2016,1,433.00,471
3977333714,4/25/2016,1,262.00,467
4319703577,4/25/2016,1,488.00,506
4445114986,4/25/2016,1,328.00,345
4702921684,4/25/2016,1,370.00,380
5553957443,4/25/2016,1,433.00,468
5577150313,4/25/2016,1,421.00,461
6962181067,4/25/2016,1,400.00,415
7086361926,4/25/2016,1,446.00,447
8378563200,4/25/2016,1,388.00,402
8378563200,4/25/2016,1,388.00,402
4445114986,4/26/2016,2,353.00,391
1503960366,4/26/2016,1,245.00,274
1927972279,4/26/2016,1,296.00,315
2347167796,4/26/2016,1,436.00,490
3977333714,4/26/2016,1,250.00,371
4319703577,4/26/2016,1,505.00,516
4388161847,4/26/2016,1,319.00,346
4558609924,4/26/2016,1,103.00,121
4702921684,4/26/2016,1,421.00,429
5553957443,4/26/2016,1,412.00,453
5577150313,4/26/2016,1,354.00,377
6962181067,4/26/2016,1,441.00,446
7086361926,4/26/2016,1,485.00,500
8378563200,4/26/2016,1,550.00,584
2026352035,4/27/2016,1,508.00,545
2347167796,4/27/2016,1,448.00,499
3977333714,4/27/2016,1,349.00,540
4319703577,4/27/2016,1,286.00,307
4388161847,4/27/2016,1,439.00,500
4445114986,4/27/2016,1,332.00,374
4702921684,4/27/2016,1,432.00,449
5553957443,4/27/2016,1,347.00,391
5577150313,4/27/2016,1,424.00,452
6117666160,4/27/2016,1,542.00,557
6962181067,4/27/2016,1,455.00,467
7086361926,4/27/2016,1,469.00,479
8378563200,4/27/2016,1,531.00,600
8792009665,4/27/2016,1,423.00,428
1503960366,4/28/2016,1,366.00,393
1927972279,4/28/2016,1,166.00,178
2026352035,4/28/2016,1,513.00,545
2347167796,4/28/2016,1,408.00,450
3977333714,4/28/2016,1,261.00,423
4319703577,4/28/2016,1,497.00,522
4388161847,4/28/2016,1,428.00,458
4445114986,4/28/2016,1,419.00,442
4702921684,4/28/2016,1,442.00,461
5553957443,4/28/2016,1,421.00,457
5577150313,4/28/2016,1,361.00,372
6117666160,4/28/2016,1,393.00,416
6962181067,4/28/2016,1,440.00,453
7086361926,4/28/2016,1,354.00,367
8378563200,4/28/2016,1,506.00,556
8792009665,4/28/2016,1,402.00,416
1503960366,4/29/2016,1,341.00,354
1644430081,4/29/2016,1,119.00,127
2026352035,4/29/2016,1,490.00,510
2347167796,4/29/2016,1,411.00,473
3977333714,4/29/2016,1,333.00,478
4319703577,4/29/2016,1,523.00,546
4445114986,4/29/2016,1,106.00,108
4558609924,4/29/2016,1,171.00,179
4702921684,4/29/2016,1,433.00,447
5553957443,4/29/2016,1,450.00,495
5577150313,4/29/2016,1,459.00,485
6117666160,4/29/2016,1,600.00,636
6962181067,4/29/2016,1,433.00,447
8378563200,4/29/2016,1,527.00,562
8792009665,4/29/2016,1,398.00,406
4388161847,4/30/2016,2,409.00,430
5553957443,4/30/2016,2,775.00,843
1503960366,4/30/2016,1,404.00,425
1644430081,4/30/2016,1,124.00,142
1844505072,4/30/2016,1,722.00,961
2026352035,4/30/2016,1,573.00,607
3977333714,4/30/2016,1,237.00,382
4319703577,4/30/2016,1,490.00,516
4445114986,4/30/2016,1,322.00,353
4702921684,4/30/2016,1,479.00,501
5577150313,4/30/2016,1,412.00,433
6962181067,4/30/2016,1,422.00,424
7086361926,4/30/2016,1,485.00,489
8378563200,4/30/2016,1,468.00,555
8792009665,4/30/2016,1,343.00,360
4445114986,5/1/2016,2,439.00,459
5553957443,5/1/2016,2,622.00,686
1503960366,5/1/2016,1,369.00,396
1844505072,5/1/2016,1,590.00,961
2026352035,5/1/2016,1,527.00,546
3977333714,5/1/2016,1,383.00,626
4319703577,5/1/2016,1,484.00,500
4388161847,5/1/2016,1,547.00,597
4558609924,5/1/2016,1,115.00,129
5577150313,5/1/2016,1,379.00,398
6117666160,5/1/2016,1,507.00,575
6962181067,5/1/2016,1,411.00,426
7007744171,5/1/2016,1,58.00,61
7086361926,5/1/2016,1,388.00,407
8378563200,5/1/2016,1,475.00,539
8792009665,5/1/2016,1,503.00,527
4388161847,5/2/2016,2,368.00,376
5577150313,5/2/2016,2,525.00,553
1503960366,5/2/2016,1,277.00,309
1644430081,5/2/2016,1,796.00,961
2026352035,5/2/2016,1,511.00,543
3977333714,5/2/2016,1,230.00,384
4319703577,5/2/2016,1,478.00,506
4445114986,5/2/2016,1,502.00,542
5553957443,5/2/2016,1,409.00,471
6962181067,5/2/2016,1,466.00,482
7086361926,5/2/2016,1,440.00,459
8378563200,5/2/2016,1,351.00,385
8792009665,5/2/2016,1,415.00,423
4445114986,5/3/2016,2,417.00,450
1503960366,5/3/2016,1,273.00,296
3977333714,5/3/2016,1,292.00,500
4020332650,5/3/2016,1,322.00,332
4319703577,5/3/2016,1,474.00,512
4702921684,5/3/2016,1,327.00,373
5553957443,5/3/2016,1,380.00,429
5577150313,5/3/2016,1,508.00,543
6962181067,5/3/2016,1,394.00,418
7086361926,5/3/2016,1,456.00,461
8378563200,5/3/2016,1,405.00,429
8792009665,5/3/2016,1,516.00,545
4445114986,5/5/2016,2,462.00,513
1503960366,5/5/2016,1,247.00,264
2026352035,5/5/2016,1,468.00,485
3977333714,5/5/2016,1,318.00,480
4020332650,5/5/2016,1,226.00,248
4388161847,5/5/2016,1,471.00,495
4388161847,5/5/2016,1,471.00,495
4702921684,5/5/2016,1,414.00,428
5553957443,5/5/2016,1,419.00,464
5577150313,5/5/2016,1,74.00,78
6117666160,5/5/2016,1,392.00,415
6962181067,5/5/2016,1,467.00,491
8378563200,5/5/2016,1,381.00,417
4445114986,5/6/2016,2,374.00,402
6117666160,5/6/2016,2,658.00,698
1503960366,5/6/2016,1,334.00,367
2026352035,5/6/2016,1,524.00,548
3977333714,5/6/2016,1,323.00,512
4020332650,5/6/2016,1,385.00,408
4319703577,5/6/2016,1,450.00,491
4702921684,5/6/2016,1,404.00,449
5553957443,5/6/2016,1,400.00,434
6962181067,5/6/2016,1,443.00,462
7086361926,5/6/2016,1,322.00,333
8378563200,5/6/2016,1,323.00,355
4445114986,5/7/2016,2,401.00,436
6117666160,5/7/2016,2,498.00,507
8378563200,5/7/2016,2,459.00,513
1503960366,5/7/2016,1,331.00,349
2026352035,5/7/2016,1,511.00,521
3977333714,5/7/2016,1,237.00,443
4319703577,5/7/2016,1,507.00,530
4388161847,5/7/2016,1,472.00,496
4702921684,5/7/2016,1,520.00,543
4702921684,5/7/2016,1,520.00,543
5553957443,5/7/2016,1,442.00,470
6962181067,5/7/2016,1,298.00,334
7086361926,5/7/2016,1,530.00,548
8053475328,5/7/2016,1,74.00,75
3977333714,5/8/2016,2,259.00,456
4388161847,5/8/2016,2,529.00,541
1503960366,5/8/2016,1,594.00,611
1644430081,5/8/2016,1,137.00,154
2026352035,5/8/2016,1,541.00,568
4020332650,5/8/2016,1,364.00,402
4319703577,5/8/2016,1,602.00,638
4445114986,5/8/2016,1,361.00,391
4558609924,5/8/2016,1,123.00,134
5553957443,5/8/2016,1,568.00,608
6117666160,5/8/2016,1,555.00,603
6962181067,5/8/2016,1,541.00,569
7086361926,5/8/2016,1,481.00,510
8378563200,5/8/2016,1,545.00,606
1503960366,5/10/2016,1,383.00,403
2026352035,5/10/2016,1,357.00,380
3977333714,5/10/2016,1,312.00,452
4020332650,5/10/2016,1,442.00,494
4319703577,5/10/2016,1,487.00,517
4388161847,5/10/2016,1,354.00,375
4445114986,5/10/2016,1,405.00,426
4702921684,5/10/2016,1,416.00,431
5553957443,5/10/2016,1,418.00,443
5577150313,5/10/2016,1,504.00,562
6962181067,5/10/2016,1,469.00,481
8378563200,5/10/2016,1,342.00,391
1503960366,5/11/2016,1,285.00,306
2026352035,5/11/2016,1,523.00,553
4319703577,5/11/2016,1,529.00,558
4388161847,5/11/2016,1,469.00,494
4445114986,5/11/2016,1,499.00,530
4702921684,5/11/2016,1,354.00,366
5553957443,5/11/2016,1,463.00,486
5577150313,5/11/2016,1,431.00,476
6962181067,5/11/2016,1,452.00,480
7086361926,5/11/2016,1,451.00,463
8378563200,5/11/2016,1,368.00,387
2026352035,5/12/2016,1,456.00,485
4319703577,5/12/2016,1,302.00,321
4445114986,5/12/2016,1,483.00,501
4702921684,5/12/2016,1,404.00,442
5553957443,5/12/2016,1,438.00,475
6962181067,5/12/2016,1,516.00,535
7086361926,5/12/2016,1,444.00,457
8378563200,5/12/2016,1,496.00,546
1503960366,5/9//2016,1,338.00,342
2026352035,5/9//2016,1,531.00,556
4319703577,5/9//2016,1,535.00,565
4388161847,5/9//2016,1,62.00,65
4445114986,5/9//2016,1,457.00,533
4702921684,5/9//2016,1,435.00,458
5553957443,5/9//2016,1,453.00,494
6117666160,5/9//2016,1,492.00,522
6962181067,5/9//2016,1,489.00,497
7086361926,5/9//2016,1,427.00,438
8378563200,5/9//2016,1,359.00,399
