Id,ActivityDate,edit_TotalSteps,editRatio_tSteps_tDist,edit_TotalDistance,TrackerDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,edit_TotalMinutes,Calories
5553957443,4/13/2016,4832,"1,529","3,160","316,000,008,583,069",0,0,226,647,873,1718
8792009665,4/13/2016,13200,"1,571","8,400","839,999,973,773,956",0,0,82,806,888,1934
2026352035,4/13/2016,4993,"1,611","3,100","309,999,990,463,257",0,0,238,663,901,1521
2347167796,4/13/2016,10352,"1,477","7,010","701,000,022,888,184",19,32,195,676,922,2038
5577150313,4/13/2016,5077,"1,340","3,790","378,999,996,185,303",15,11,144,776,946,2551
7086361926,4/13/2016,5813,"1,606","3,620","361,999,988,555,908",31,26,155,744,956,2516
8378563200,4/13/2016,12386,"1,261","9,820","981,999,969,482,422",116,14,169,680,979,4079
3977333714,4/13/2016,10035,"1,496","6,710","671,000,003,814,697",31,46,153,754,984,1495
1927972279,4/13/2016,3560,"1,424","2,500",0.25,0,0,32,986,1018,2151
1503960366,4/13/2016,10735,"1,540","6,970","696,999,979,019,165",21,19,217,776,1033,1797
4445114986,4/13/2016,2961,"1,488","1,990","199,000,000,953,674",0,0,194,840,1034,2095
4702921684,4/13/2016,6877,"1,232","5,580","557,999,992,370,605",0,0,258,777,1035,2898
6775888955,4/13/2016,4053,"1,393","2,910","291,000,008,583,069",17,18,85,1053,1173,2400
4319703577,4/13/2016,8204,"1,492","5,500",5.5,8,15,96,1234,1353,2135
8053475328,4/13/2016,16433,"1,231","13,350","133,500,003,814,697",95,12,156,1177,1440,3140
8583815059,4/13/2016,5571,"1,281","4,350","434,999,990,463,257",2,23,163,1252,1440,2654
4388161847,4/13/2016,10993,"1,301","8,450","844,999,980,926,514",1,14,150,1275,1440,3092
8253242879,4/13/2016,8053,"1,320","6,100","609,999,990,463,257",35,11,96,1298,1440,1935
6290855005,4/13/2016,7142,"1,323","5,400","540,000,009,536,743",0,0,350,1090,1440,2905
7007744171,4/13/2016,12862,"1,333","9,650","860,000,038,146,973",56,22,261,1101,1440,2742
4057192912,4/13/2016,5974,"1,336","4,470","446,999,979,019,165",0,0,160,1280,1440,2306
1644430081,4/13/2016,8001,"1,375","5,820","582,000,017,166,138",30,16,135,1259,1440,2902
2022484408,4/13/2016,12024,"1,415","8,500",8.5,43,5,292,1100,1440,2601
3372868164,4/13/2016,9715,"1,465","6,630","663,000,011,444,092",16,8,371,1045,1440,2093
2320127002,4/13/2016,7275,"1,485","4,900","490,000,009,536,743",0,0,335,1105,1440,2003
2873212765,4/13/2016,7618,"1,488","5,120","511,999,988,555,908",0,8,404,1028,1440,2004
1844505072,4/13/2016,4929,"1,512","3,260","325,999,999,046,326",0,0,248,1192,1440,1860
4558609924,4/13/2016,4978,"1,513","3,290","328,999,996,185,303",19,7,127,1287,1440,1722
1624580081,4/13/2016,7007,"1,540","4,550","455,000,019,073,486",0,0,148,1292,1440,1411
8877689391,4/13/2016,15337,"1,601","9,580","957,999,992,370,605",108,18,216,1098,1440,3566
2026352035,4/14/2016,3335,"1,611","2,070","20,699,999,332,428",0,0,197,653,850,1431
8792009665,4/14/2016,12190,"1,563","7,800","779,999,971,389,771",0,0,84,853,937,1963
4319703577,4/14/2016,10210,"1,484","6,880","688,000,011,444,092",1,9,339,589,938,2302
4445114986,4/14/2016,3974,"1,488","2,670","267,000,007,629,395",0,0,231,717,948,2194
6962181067,4/14/2016,1551,"1,506","1,030","102,999,997,138,977",0,0,86,862,948,1466
2347167796,4/14/2016,10129,"1,512","6,700","669,999,980,926,514",1,48,206,705,960,2010
5577150313,4/14/2016,8596,"1,339","6,420","642,000,007,629,395",118,30,176,662,986,4022
6775888955,4/14/2016,5162,"1,395","3,700","370,000,004,768,372",14,24,105,863,1006,2507
8378563200,4/14/2016,13318,"1,261","10,560","105,600,004,196,167",123,21,174,699,1017,4163
4702921684,4/14/2016,7860,"1,234","6,370","636,999,988,555,908",0,0,271,772,1043,2984
7086361926,4/14/2016,9123,"1,491","6,120","611,999,988,555,908",35,32,189,787,1043,2734
3977333714,4/14/2016,7641,"1,495","5,110","51,100,001,335,144",5,23,214,801,1043,1433
5553957443,4/14/2016,17022,"1,531","11,120","111,199,998,855,591",61,41,256,693,1051,2324
4388161847,4/14/2016,8863,"1,300","6,820","682,000,017,166,138",10,35,219,945,1209,2998
1844505072,4/14/2016,7937,"1,512","5,250",5.25,0,0,373,843,1216,2130
1927972279,4/14/2016,2163,"1,442","1,500",1.5,0,9,88,1292,1389,2383
4020332650,4/14/2016,10800,"1,350","8,000","799,999,982,118,607",0,0,3,1437,1440,2011
8583815059,4/14/2016,3135,"1,280","2,450","245,000,004,768,372",0,0,134,1306,1440,2443
6290855005,4/14/2016,7671,"1,323","5,800","580,000,019,073,486",0,0,363,1077,1440,2952
7007744171,4/14/2016,11179,"1,357","8,240","748,000,001,907,349",34,6,304,1096,1440,2668
1644430081,4/14/2016,11037,"1,376","8,020","802,000,045,776,367",5,58,252,1125,1440,3226
3372868164,4/14/2016,8844,"1,467","6,030","603,000,020,980,835",6,25,370,1039,1440,2065
2320127002,4/14/2016,3973,"1,482","2,680","26,800,000,667,572",0,0,191,1249,1440,1696
2873212765,4/14/2016,7910,"1,487","5,320","532,000,017,166,138",0,0,331,1109,1440,1893
8253242879,4/14/2016,5234,"1,513","3,460","346,000,003,814,697",29,16,33,1362,1440,1705
4558609924,4/14/2016,6799,"1,514","4,490","448,999,977,111,816",0,0,279,1161,1440,1922
1624580081,4/14/2016,9107,"1,538","5,920","592,000,007,629,395",0,0,236,1204,1440,1572
1503960366,4/14/2016,10460,"1,552","6,740","673,999,977,111,816",30,11,181,1218,1440,1776
8877689391,4/14/2016,21129,"1,113","18,980","189,799,995,422,363",68,13,298,1061,1440,3793
8053475328,4/14/2016,20159,"1,262","15,970","159,700,002,670,288",119,5,193,1123,1440,3411
2022484408,4/14/2016,10690,"1,425","7,500",7.5,32,3,257,1148,1440,2312
1844505072,4/15/2016,3844,"1,513","2,540","253,999,996,185,303",0,0,176,527,703,1725
2026352035,4/15/2016,3821,"1,612","2,370","236,999,988,555,908",0,0,188,687,875,1444
3977333714,4/15/2016,9010,"1,487","6,060","605,999,994,277,954",15,42,183,644,884,1468
4057192912,4/15/2016,3984,"1,351","2,950","295,000,004,768,372",3,6,88,873,970,1527
4319703577,4/15/2016,5664,"1,491","3,800","379,999,995,231,628",0,0,228,752,980,1985
1927972279,4/15/2016,9800,"1,441","6,800","680,000,007,152,557",0,0,51,941,992,2221
1503960366,4/15/2016,9762,"1,554","6,280","628,000,020,980,835",29,34,209,726,998,1745
8378563200,4/15/2016,14461,"1,261","11,470","114,700,002,670,288",60,23,190,729,1002,3666
5553957443,4/15/2016,16556,"1,524","10,860","108,599,996,566,772",58,38,239,689,1024,2254
2347167796,4/15/2016,10465,"1,512","6,920","692,000,007,629,395",1,24,284,720,1029,2133
6775888955,4/15/2016,12820,"1,393","9,200","920,000,016,689,301",0,0,58,976,1034,2127
6962181067,4/15/2016,5563,"1,512","3,680","36,800,000,667,572",0,0,217,837,1054,1756
7086361926,4/15/2016,8585,"1,514","5,670","567,000,007,629,395",30,21,139,864,1054,2395
4445114986,4/15/2016,7198,"1,490","4,830","482,999,992,370,605",0,0,350,711,1061,2496
5577150313,4/15/2016,12087,"1,331","9,080","907,999,992,370,605",115,54,199,695,1063,4005
8792009665,4/15/2016,2483,"1,562","1,590","15,900,000,333,786",0,0,126,937,1063,2009
4388161847,4/15/2016,8758,"1,301","6,730","673,000,001,907,349",0,0,299,837,1136,3066
4702921684,4/15/2016,6506,"1,232","5,280","528,000,020,980,835",1,8,256,944,1209,2896
1624580081,4/15/2016,15100,"1,541","9,800","980,000,019,073,486",0,0,96,1344,1440,1344
8583815059,4/15/2016,3430,"1,280","2,680","26,800,000,667,572",0,0,65,1375,1440,2505
6290855005,4/15/2016,9501,"1,323","7,180","717,999,982,833,862",0,0,328,1112,1440,2896
6117666160,4/15/2016,14019,"1,324","10,590","105,900,001,525,879",0,6,513,921,1440,2865
2022484408,4/15/2016,11034,"1,374","8,030","802,999,973,297,119",27,9,282,1122,1440,2525
1644430081,4/15/2016,5263,"1,374","3,830","382,999,992,370,605",3,4,170,1263,1440,2750
4020332650,4/15/2016,1882,"1,394","1,350","135,000,002,384,186",36,18,87,1299,1440,2951
3372868164,4/15/2016,7451,"1,467","5,080","507,999,992,370,605",0,0,335,1105,1440,1908
2320127002,4/15/2016,5205,"1,483","3,510","350,999,999,046,326",0,0,245,1195,1440,1801
2873212765,4/15/2016,8482,"1,488","5,700","569,999,980,926,514",0,0,448,992,1440,2063
7007744171,4/15/2016,5273,"1,494","3,530","352,999,997,138,977",0,0,202,1238,1440,2098
8253242879,4/15/2016,2672,"1,510","1,770","176,999,998,092,651",0,0,105,1335,1440,1632
4558609924,4/15/2016,7795,"1,514","5,150","515,000,009,536,743",17,30,262,1131,1440,2121
8877689391,4/15/2016,13422,"1,872","7,170","717,000,007,629,395",106,1,281,1052,1440,3934
8053475328,4/15/2016,20669,"1,273","16,240","162,399,997,711,182",132,8,158,1142,1440,3410
8378563200,4/16/2016,11207,"1,261","8,890","889,000,034,332,275",64,21,142,563,790,3363
5553957443,4/16/2016,5771,"1,531","3,770","376,999,998,092,651",0,0,288,521,809,1831
5577150313,4/16/2016,14269,"1,339","10,660","106,599,998,474,121",184,56,158,472,870,4274
4388161847,4/16/2016,6580,"1,300","5,060","505,999,994,277,954",6,9,253,609,877,3073
2026352035,4/16/2016,2547,"1,612","1,580","158,000,004,291,534",0,0,150,728,878,1373
4702921684,4/16/2016,11140,"1,234","9,030","902,999,973,297,119",3,24,335,556,918,3328
4319703577,4/16/2016,4744,"1,492","3,180","31,800,000,667,572",0,0,194,724,918,1884
3977333714,4/16/2016,13459,"1,495","9,000",9,31,83,153,663,930,1625
4445114986,4/16/2016,3945,"1,489","2,650","265,000,009,536,743",0,0,225,716,941,2180
1503960366,4/16/2016,12669,"1,553","8,160","815,999,984,741,211",36,10,221,773,1040,1863
6117666160,4/16/2016,14450,"1,324","10,910","109,099,998,474,121",7,15,518,502,1042,2828
6962181067,4/16/2016,13217,"1,512","8,740","873,999,977,111,816",50,3,280,741,1074,2173
7007744171,4/16/2016,4631,"1,494","3,100","309,999,990,463,257",0,0,203,1155,1358,2076
4020332650,4/16/2016,1982,"1,396","1,420","141,999,995,708,466",65,21,55,1222,1363,3051
2347167796,4/16/2016,22244,"1,475","15,080","150,799,999,237,061",66,72,268,968,1374,2670
7086361926,4/16/2016,31,3,"10,000","999,999,977,648,258",0,0,3,1437,1440,1635
8792009665,4/16/2016,2440,"1,525","1,600","159,999,996,423,721",0,0,12,1428,1440,1721
8583815059,4/16/2016,5319,"1,282","4,150","415,000,009,536,743",0,0,0,1440,1440,2693
6290855005,4/16/2016,8301,"1,322","6,280","628,000,020,980,835",0,0,258,1182,1440,2783
6775888955,4/16/2016,4732,"1,396","3,390","339,000,010,490,417",36,18,9,1377,1440,2225
2022484408,4/16/2016,10100,"1,425","7,090","709,000,015,258,789",41,11,151,1237,1440,2177
2873212765,4/16/2016,9685,"1,456","6,650","665,000,009,536,743",47,1,305,1087,1440,2148
3372868164,4/16/2016,6905,"1,460","4,730","473,000,001,907,349",0,0,356,1084,1440,1908
2320127002,4/16/2016,5057,"1,483","3,410","341,000,008,583,069",0,0,195,1245,1440,1724
8253242879,4/16/2016,9256,"1,507","6,140","61,399,998,664,856",6,51,115,1268,1440,1880
1844505072,4/16/2016,3414,"1,511","2,260","225,999,999,046,326",0,0,147,1293,1440,1657
4558609924,4/16/2016,7289,"1,512","4,820","482,000,017,166,138",8,12,308,1112,1440,1997
1624580081,4/16/2016,5370,"1,539","3,490","349,000,000,953,674",0,0,176,1264,1440,1463
8877689391,4/16/2016,29326,"1,160","25,290","252,900,009,155,273",94,29,429,888,1440,4547
8053475328,4/16/2016,14549,"1,310","11,110","111,099,996,566,772",96,6,83,1255,1440,2867
1644430081,4/16/2016,15300,"1,376","11,120","111,199,998,855,591",51,42,212,1135,1440,3493
8378563200,4/17/2016,2132,"1,262","1,690","169,000,005,722,046",0,0,93,599,692,2572
1503960366,4/17/2016,9705,"1,498","6,480","648,000,001,907,349",38,20,164,539,761,1728
2347167796,4/17/2016,5472,"1,512","3,620","361,999,988,555,908",1,7,249,508,765,1882
4702921684,4/17/2016,12692,"1,233","10,290","10,289,999,961,853",12,66,302,437,817,3394
3977333714,4/17/2016,10415,"1,494","6,970","696,999,979,019,165",11,58,205,600,874,1529
5577150313,4/17/2016,12231,"1,338","9,140","914,000,034,332,275",200,37,159,525,921,4552
4388161847,4/17/2016,4660,"1,302","3,580","357,999,992,370,605",0,0,201,721,922,2572
6962181067,4/17/2016,10145,"1,512","6,710","671,000,003,814,697",5,13,295,634,947,2027
5553957443,4/17/2016,6550,"1,523","4,300","430,000,007,152,557",0,0,46,943,989,1397
6117666160,4/17/2016,7150,"1,324","5,400","540,000,009,536,743",0,0,312,702,1014,2225
2026352035,4/17/2016,8380,"1,612","5,200","519,999,980,926,514",0,0,60,1053,1113,1214
4445114986,4/17/2016,2268,"1,492","1,520","151,999,998,092,651",0,0,114,1219,1333,1933
4319703577,4/17/2016,2900,"1,450","2,000","199,999,995,529,652",0,0,3,1363,1366,1464
4020332650,4/17/2016,16,2,"10,000","999,999,977,648,258",0,0,2,1438,1440,1990
8583815059,4/17/2016,3008,"1,280","2,350","234,999,990,463,257",0,0,0,1440,1440,2439
8253242879,4/17/2016,10204,"1,290","7,910","790,999,984,741,211",41,5,157,1237,1440,2112
6290855005,4/17/2016,7851,"1,322","5,940","594,000,005,722,046",31,12,225,1172,1440,3171
1644430081,4/17/2016,8757,"1,375","6,370","636,999,988,555,908",29,13,186,1212,1440,3011
3372868164,4/17/2016,8199,"1,394","5,880","588,000,011,444,092",11,2,322,1105,1440,1964
6775888955,4/17/2016,2497,"1,395","1,790","178,999,996,185,303",5,24,19,1392,1440,2067
2320127002,4/17/2016,6198,"1,483","4,180","417,999,982,833,862",0,0,249,1191,1440,1852
2873212765,4/17/2016,2524,"1,485","1,700","170,000,004,768,372",0,8,160,1272,1440,1529
7007744171,4/17/2016,8059,"1,495","5,390","53,899,998,664,856",0,0,305,1135,1440,2383
4558609924,4/17/2016,9634,"1,505","6,400","640,000,009,536,743",7,19,304,1110,1440,2117
1844505072,4/17/2016,4525,"1,513","2,990","299,000,000,953,674",2,8,199,1231,1440,1793
1624580081,4/17/2016,6175,"1,521","4,060","405,999,994,277,954",15,22,127,1276,1440,1554
8877689391,4/17/2016,15118,"1,704","8,870","886,999,988,555,908",58,15,307,1060,1440,3545
2022484408,4/17/2016,15112,"1,326","11,400","113,999,996,185,303",28,29,331,1052,1440,2782
8053475328,4/17/2016,18827,"1,375","13,690","136,899,995,803,833",111,21,195,1113,1440,3213
5553957443,4/18/2016,3727,"1,534","2,430","24,300,000,667,572",0,0,206,622,828,1683
4319703577,4/18/2016,2276,"1,468","1,550","154,999,995,231,628",1,9,58,824,892,1632
5577150313,4/18/2016,9893,"1,339","7,390","73,899,998,664,856",114,32,130,623,899,3625
2347167796,4/18/2016,8247,"1,513","5,450","544,999,980,926,514",11,16,206,678,911,1944
3977333714,4/18/2016,11663,"1,495","7,800","780,000,019,073,486",4,95,214,605,918,1584
6962181067,4/18/2016,11404,"1,512","7,540","753,999,996,185,303",13,42,238,689,982,2039
6117666160,4/18/2016,5153,"1,318","3,910","391,000,008,583,069",0,0,241,759,1000,2018
8378563200,4/18/2016,13630,"1,261","10,810","108,100,004,196,167",117,10,174,720,1021,4157
4702921684,4/18/2016,9105,"1,234","7,380","738,000,011,444,092",22,30,191,890,1133,3013
2026352035,4/18/2016,3325,"1,614","2,060","205,999,994,277,954",0,0,182,1062,1244,1419
4388161847,4/18/2016,11009,"1,210","9,100","910,000,038,146,973",27,8,239,1017,1291,3274
7086361926,4/18/2016,9827,"1,465","6,710","671,000,003,814,697",61,51,114,1136,1362,2743
4020332650,4/18/2016,6200,"1,550","4,000","399,999,991,059,303",0,0,2,1438,1440,1995
1927972279,4/18/2016,2440,"1,435","1,700","170,000,001,788,139",0,0,17,1423,1440,2111
8583815059,4/18/2016,3864,"1,284","3,010","300,999,999,046,326",4,22,105,1309,1440,2536
8877689391,4/18/2016,11423,"1,318","8,670","867,000,007,629,395",29,5,191,1215,1440,2761
6290855005,4/18/2016,6885,"1,321","5,210","521,000,003,814,697",0,0,271,1169,1440,2766
7007744171,4/18/2016,14816,"1,349","10,980","990,999,984,741,211",48,31,284,1077,1440,2832
1644430081,4/18/2016,7132,"1,374","5,190","519,000,005,722,046",15,33,121,1271,1440,2806
6775888955,4/18/2016,8294,"1,394","5,950","594,999,980,926,514",30,31,146,1233,1440,2798
2022484408,4/18/2016,14131,"1,403","10,070","100,699,996,948,242",48,3,311,1078,1440,2770
1624580081,4/18/2016,10536,"1,422","7,410","740,999,984,741,211",17,7,202,1214,1440,1604
4445114986,4/18/2016,6155,"1,452","4,240","423,999,977,111,816",25,6,162,1247,1440,2248
3372868164,4/18/2016,6798,"1,465","4,640","46,399,998,664,856",20,7,343,1070,1440,2014
8253242879,4/18/2016,5151,"1,480","3,480","348,000,001,907,349",16,16,130,1278,1440,1829
2873212765,4/18/2016,7762,"1,481","5,240","523,999,977,111,816",1,6,311,1122,1440,1890
2320127002,4/18/2016,6559,"1,484","4,420","442,000,007,629,395",0,7,260,1173,1440,1905
1844505072,4/18/2016,4597,"1,512","3,040","303,999,996,185,303",0,12,217,1211,1440,1814
4558609924,4/18/2016,8940,"1,513","5,910","590,999,984,741,211",14,15,331,1080,1440,2116
1503960366,4/18/2016,13019,"1,516","8,590","859,000,015,258,789",42,16,233,1149,1440,1921
8053475328,4/18/2016,17076,"1,349","12,660","126,599,998,474,121",102,6,195,1137,1440,3133
6117666160,4/19/2016,11135,"1,324","8,410","840,999,984,741,211",0,0,480,425,905,2606
4319703577,4/19/2016,8925,"1,490","5,990","598,999,977,111,816",0,0,311,604,915,2200
2026352035,4/19/2016,2424,"1,616","1,500",1.5,0,0,141,785,926,1356
6962181067,4/19/2016,10742,"1,513","7,100","709,999,990,463,257",35,41,195,659,930,2046
7086361926,4/19/2016,10688,"1,466","7,290","728,999,996,185,303",67,69,124,671,931,2944
4702921684,4/19/2016,6708,"1,233","5,440","544,000,005,722,046",10,8,179,757,954,2812
5577150313,4/19/2016,12574,"1,335","9,420","942,000,007,629,395",108,23,111,733,975,3501
4388161847,4/19/2016,10181,"1,300","7,830","782,999,992,370,605",20,16,249,704,989,3015
4445114986,4/19/2016,2064,"1,485","1,390","138,999,998,569,489",0,0,121,895,1016,1954
8378563200,4/19/2016,13070,"1,262","10,360","103,599,996,566,772",120,19,154,737,1030,4092
2347167796,4/19/2016,6711,"1,511","4,440","444,000,005,722,046",0,7,382,648,1037,2346
3977333714,4/19/2016,12414,"1,414","8,780","877,999,973,297,119",19,67,221,738,1045,1638
5553957443,4/19/2016,15482,"1,531","10,110","101,099,996,566,772",69,28,249,756,1102,2284
1503960366,4/19/2016,15506,"1,569","9,880","988,000,011,444,092",50,31,264,775,1120,2035
1844505072,4/19/2016,1970,"1,515","1,300","129,999,995,231,628",0,0,10,1430,1440,1366
8583815059,4/19/2016,5697,"1,283","4,440","444,000,005,722,046",7,10,166,1257,1440,2668
6290855005,4/19/2016,7142,"1,323","5,400","540,000,009,536,743",0,0,321,1119,1440,2839
2022484408,4/19/2016,11548,"1,354","8,530","852,999,973,297,119",31,7,250,1152,1440,2489
7007744171,4/19/2016,14194,"1,354","10,480",9.5,53,17,304,1066,1440,2812
1644430081,4/19/2016,11256,"1,376","8,180","818,000,030,517,578",5,58,278,1099,1440,3300
3372868164,4/19/2016,7711,"1,466","5,260","526,000,022,888,184",0,0,376,1064,1440,1985
2873212765,4/19/2016,7948,"1,480","5,370","536,999,988,555,908",0,0,389,1051,1440,1956
2320127002,4/19/2016,5997,"1,484","4,040","403,999,996,185,303",0,11,228,1201,1440,1811
4558609924,4/19/2016,5401,"1,513","3,570","35,699,999,332,428",1,9,248,1182,1440,1876
8253242879,4/19/2016,4212,"1,515","2,780","277,999,997,138,977",0,0,164,1276,1440,1763
1624580081,4/19/2016,2916,"1,535","1,900","189,999,997,615,814",0,0,141,1299,1440,1435
8877689391,4/19/2016,18785,"1,080","17,400","173,999,996,185,303",82,13,214,1131,1440,3676
8053475328,4/19/2016,15929,"1,276","12,480","124,799,995,422,363",90,7,191,1152,1440,3114
5553957443,4/20/2016,2713,"1,533","1,770","176,999,998,092,651",0,0,148,598,746,1570
8792009665,4/20/2016,3147,"1,566","2,010","200,999,999,046,326",0,10,139,744,893,2188
8053475328,4/20/2016,15108,"1,239","12,190","121,899,995,803,833",89,5,158,695,947,3043
2026352035,4/20/2016,7222,"1,612","4,480","448,000,001,907,349",0,0,327,623,950,1667
6117666160,4/20/2016,10449,"1,303","8,020","802,000,045,776,367",26,10,349,587,972,2536
4445114986,4/20/2016,2072,"1,491","1,390","138,999,998,569,489",0,0,137,841,978,1974
4388161847,4/20/2016,10553,"1,300","8,120","811,999,988,555,908",19,42,228,696,985,3083
6962181067,4/20/2016,13928,"1,458","9,550","955,000,019,073,486",48,4,297,639,988,2174
5577150313,4/20/2016,8330,"1,339","6,220","621,999,979,019,165",87,16,113,773,989,3192
4319703577,4/20/2016,8954,"1,490","6,010","601,000,022,888,184",0,18,306,671,995,2220
4702921684,4/20/2016,8793,"1,233","7,130","713,000,011,444,092",2,29,260,717,1008,3061
8378563200,4/20/2016,9388,"1,262","7,440","744,000,005,722,046",82,8,169,763,1022,3787
7086361926,4/20/2016,14365,"1,350","10,640","106,400,003,433,228",87,13,145,797,1042,2997
1503960366,4/20/2016,10544,"1,578","6,680","667,999,982,833,862",28,12,205,818,1063,1786
